multiplier_name,category,pareto_dirs,bit_width,signed,mean_error,variance_error,std_error,n_samples,simulation_type
mul8u_GJM,8x8_unsigned,pareto_pwr_ep,8,False,-970.1953125,2748003.5399780273,1657.7103305396959,65536,exhaustive
mul8u_GTR,8x8_unsigned,pareto_pwr_mae,8,False,-19.96875,1107.8115234375,33.28380271900283,65536,exhaustive
mul8u_L93,8x8_unsigned,pareto_pwr_mae,8,False,-89.1875,31857.58984375,178.48694586369615,65536,exhaustive
mul8u_LK8,8x8_unsigned,pareto_pwr_mse;pareto_pwr_wce,8,False,-0.3515625,16.56390380859375,4.069877615923327,65536,exhaustive
mul8u_NLX,8x8_unsigned,pareto_pwr_mse,8,False,-5.45703125,2733.7833099365234,52.28559371314935,65536,exhaustive
mul8u_R36,8x8_unsigned,pareto_pwr_mre,8,False,-3812.25,23087191.1875,4804.913234128167,65536,exhaustive
mul8u_R92,8x8_unsigned,pareto_pwr_wce,8,False,-2.96875,203.4208984375,14.262569839881591,65536,exhaustive
mul8u_T83,8x8_unsigned,pareto_pwr_wce,8,False,-134.609375,3068391.3083496094,1751.682422230014,65536,exhaustive
mul8u_TD3,8x8_unsigned,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,8,False,-16256.25,207384142.1875,14400.838246001515,65536,exhaustive
mul8u_XFM,8x8_unsigned,pareto_pwr_mre,8,False,13.27734375,3666.415267944336,60.55093118973758,65536,exhaustive
mul8u_Z9D,8x8_unsigned,pareto_pwr_ep,8,False,-3169.337890625,23558043.295986176,4853.662874158667,65536,exhaustive
mul8u_ZB3,8x8_unsigned,pareto_pwr_mae,8,False,-0.125,0.234375,0.4841229182759271,65536,exhaustive
mul8u_ZDF,8x8_unsigned,pareto_pwr_mre,8,False,0.75,60.6875,7.790218225441442,65536,exhaustive
